skill_a,skill_b,postings_together
Python,SQL,3294
Machine Learning,Python,2147
AWS,Python,1892
Agile,Python,1700
Python,Spark,1666
Agile,SQL,1556
AWS,SQL,1465
Data Warehousing,SQL,1396
Azure,Python,1393
SQL,Spark,1383
SQL,Tableau,1345
AWS,Agile,1335
Machine Learning,SQL,1294
ETL,SQL,1289
AWS,Azure,1277
Big Data,Python,1275
Azure,SQL,1270
Java,Python,1266
Python,Statistics,1194
AWS,Machine Learning,1163
SQL,Statistics,1155
Big Data,Spark,1146
Big Data,SQL,1122
Python,Tableau,1119
AWS,Spark,1112
Data Warehousing,Python,1111
Power BI,SQL,1104
GCP,Python,1101
AWS,GCP,1094
Data Pipelines,Python,1067
ETL,Python,1058
Azure,GCP,1040
Python,Scala,1016
Data Modeling,SQL,1009
Agile,Spark,1007
Agile,Azure,987
SQL,Snowflake,981
Java,SQL,956
Data Visualization,SQL,953
Agile,Machine Learning,951
Python,Snowflake,950
Scala,Spark,932
Machine Learning,Spark,901
AWS,Big Data,894
Azure,Spark,892
Azure,Data Warehousing,888
Java,Spark,887
AWS,Data Warehousing,887
Excel,SQL,882
Power BI,Tableau,876
Data Pipelines,SQL,874
Azure,Machine Learning,867
Power BI,Python,851
Data Visualization,Python,849
Hadoop,Spark,848
AWS,Java,847
Hadoop,Python,841
Agile,Big Data,831
SQL,Scala,827
Machine Learning,Statistics,818
Agile,Data Warehousing,807
GCP,SQL,804
Hadoop,SQL,796
Java,Scala,790
AWS,Snowflake,785
Big Data,Hadoop,784
Java,Machine Learning,782
GCP,Machine Learning,782
Big Data,Java,781
Agile,Java,780
Data Modeling,Python,778
NoSQL,SQL,777
Big Data,Machine Learning,764
Linux,Python,759
Agile,GCP,758
NoSQL,Python,756
Data Warehousing,Spark,750
Data Visualization,Tableau,745
Business Intelligence,SQL,737
Data Warehousing,ETL,737
Big Data,Scala,736
AWS,Data Pipelines,732
Data Warehousing,Snowflake,730
AWS,Scala,723
Kafka,Python,715
Agile,Snowflake,715
GCP,Spark,711
Azure,Big Data,711
Data Pipelines,Spark,707
Linux,SQL,707
Big Data,Data Warehousing,696
Agile,Scala,695
Kafka,Spark,694
Kafka,SQL,683
Azure,Snowflake,682
Machine Learning,PyTorch,679
SQL,SQL Server,678
Machine Learning,TensorFlow,677
Snowflake,Spark,671
Python,TensorFlow,666
Data Modeling,ETL,665
Azure,Java,661
PyTorch,Python,660
PyTorch,TensorFlow,645
AWS,NoSQL,643
Bash,Python,642
Machine Learning,Scala,635
Data Warehousing,GCP,633
GCP,Java,629
Statistics,Tableau,628
Data Modeling,Data Warehousing,625
AWS,Kafka,622
Big Data,GCP,621
Data Warehousing,Java,620
Azure,Scala,619
Python,Redshift,613
Hadoop,Scala,613
AWS,Redshift,608
Excel,Python,605
Redshift,SQL,604
Azure,Data Pipelines,604
Databricks,Python,599
Hive,Spark,597
Hive,Python,593
Big Data,Kafka,591
Hadoop,Java,590
Data Visualization,Statistics,588
CI/CD,Python,588
Data Governance,SQL,588
Hive,SQL,588
AWS,Hadoop,586
Bash,SQL,583
Data Visualization,Power BI,578
GCP,Scala,576
Data Warehousing,Scala,572
NoSQL,Spark,570
Agile,ETL,568
Big Data,Snowflake,567
Agile,Hadoop,567
Data Warehousing,Machine Learning,562
Artificial Intelligence,Machine Learning,562
AWS,ETL,560
Agile,Linux,554
Oracle,SQL,553
Bash,Linux,551
Agile,Kafka,549
Data Pipelines,Data Warehousing,545
Big Data,NoSQL,544
Agile,NoSQL,543
Azure,NoSQL,542
Excel,Tableau,535
AWS,Linux,531
Business Intelligence,Python,529
Hadoop,Hive,528
Java,NoSQL,528
Azure,Databricks,526
Azure,Hadoop,526
MySQL,SQL,525
Data Warehousing,Redshift,525
