skill,postings_mentioning,pct_of_postings
SQL,5004,41.0
Python,4836,39.6
Machine Learning,2695,22.1
AWS,2683,22.0
Agile,2547,20.8
Azure,2048,16.8
Excel,1932,15.8
Spark,1926,15.8
Statistics,1880,15.4
ETL,1879,15.4
Data Warehousing,1833,15.0
Tableau,1672,13.7
Big Data,1654,13.5
Power BI,1532,12.5
Java,1435,11.7
Data Modeling,1391,11.4
Data Pipelines,1382,11.3
GCP,1358,11.1
Snowflake,1263,10.3
Data Visualization,1242,10.2
Linux,1092,8.9
Scala,1085,8.9
Data Governance,1011,8.3
Business Intelligence,994,8.1
Hadoop,972,8.0
SQL Server,921,7.5
NoSQL,913,7.5
Kafka,861,7.0
Oracle,852,7.0
Databricks,764,6.3
CI/CD,749,6.1
TensorFlow,727,6.0
Redshift,707,5.8
Deep Learning,705,5.8
Classification,685,5.6
Hive,671,5.5
DevOps,669,5.5
MongoDB,614,5.0
MySQL,614,5.0
PyTorch,603,4.9
Kubernetes,564,4.6
Airflow,563,4.6
Data Mining,562,4.6
Amazon EMR,541,4.4
Amazon S3,541,4.4
NLP,534,4.4
PostgreSQL,504,4.1
Jira,498,4.1
Docker,498,4.1
SAS,476,3.9
Cassandra,437,3.6
Git,413,3.4
SAP,402,3.3
Scrum,396,3.2
MapReduce,391,3.2
A/B Testing,362,3.0
C++,361,3.0
Regression,341,2.8
scikit-learn,333,2.7
Pandas,328,2.7
Gurobi,326,2.7
NumPy,260,2.1
dbt,224,1.8
Computer Vision,222,1.8
MLflow,222,1.8
Clustering,221,1.8
Hypothesis Testing,219,1.8
GitHub,217,1.8
Terraform,215,1.8
Looker,215,1.8
Jupyter,169,1.4
MATLAB,164,1.3
BigQuery,160,1.3
Time Series,144,1.2
Alteryx,142,1.2
Feature Engineering,140,1.1
Hugging Face / Transformers,131,1.1
Ansible,117,1.0
SageMaker,114,0.9
Qlik,104,0.9
Keras,103,0.8
GitLab,97,0.8
Elasticsearch,77,0.6
Redis,68,0.6
Bitbucket,63,0.5
Matplotlib,62,0.5
XGBoost,56,0.5
Seaborn,31,0.3
Plotly,28,0.2
NLTK,20,0.2
Julia,19,0.2
Vertex AI,18,0.1
OpenCV,17,0.1
R,15,0.1
LightGBM,7,0.1
statsmodels,1,0.0
