month,skill,postings,mentions,pct
2025-05,Machine Learning,81,17,21.0
2025-05,Generative AI,81,3,3.7
2025-05,Python,81,5,6.2
2025-05,Artificial Intelligence,81,2,2.5
2025-05,LLMs,81,2,2.5
2025-05,MLOps,81,0,0.0
2025-05,Computer Vision,81,5,6.2
2025-05,Azure,81,0,0.0
2025-05,NLP,81,8,9.9
2025-05,SQL,81,0,0.0
2025-05,AWS,81,0,0.0
2025-05,Data Pipelines,81,0,0.0
2025-07,Machine Learning,87,20,23.0
2025-07,Generative AI,87,3,3.4
2025-07,Python,87,3,3.4
2025-07,Artificial Intelligence,87,0,0.0
2025-07,LLMs,87,3,3.4
2025-07,MLOps,87,5,5.7
2025-07,Computer Vision,87,6,6.9
2025-07,Azure,87,0,0.0
2025-07,NLP,87,3,3.4
2025-07,SQL,87,1,1.1
2025-07,AWS,87,0,0.0
2025-07,Data Pipelines,87,2,2.3
2025-08,Machine Learning,96,13,13.5
2025-08,Generative AI,96,5,5.2
2025-08,Python,96,2,2.1
2025-08,Artificial Intelligence,96,4,4.2
2025-08,LLMs,96,6,6.2
2025-08,MLOps,96,0,0.0
2025-08,Computer Vision,96,7,7.3
2025-08,Azure,96,1,1.0
2025-08,NLP,96,2,2.1
2025-08,SQL,96,0,0.0
2025-08,AWS,96,0,0.0
2025-08,Data Pipelines,96,0,0.0
2025-09,Machine Learning,90,8,8.9
2025-09,Generative AI,90,8,8.9
2025-09,Python,90,2,2.2
2025-09,Artificial Intelligence,90,4,4.4
2025-09,LLMs,90,4,4.4
2025-09,MLOps,90,5,5.6
2025-09,Computer Vision,90,5,5.6
2025-09,Azure,90,0,0.0
2025-09,NLP,90,3,3.3
2025-09,SQL,90,0,0.0
2025-09,AWS,90,1,1.1
2025-09,Data Pipelines,90,0,0.0
2025-10,Machine Learning,162,28,17.3
2025-10,Generative AI,162,7,4.3
2025-10,Python,162,2,1.2
2025-10,Artificial Intelligence,162,6,3.7
2025-10,LLMs,162,9,5.6
2025-10,MLOps,162,5,3.1
2025-10,Computer Vision,162,2,1.2
2025-10,Azure,162,1,0.6
2025-10,NLP,162,8,4.9
2025-10,SQL,162,0,0.0
2025-10,AWS,162,2,1.2
2025-10,Data Pipelines,162,3,1.9
2025-11,Machine Learning,246,46,18.7
2025-11,Generative AI,246,14,5.7
2025-11,Python,246,4,1.6
2025-11,Artificial Intelligence,246,17,6.9
2025-11,LLMs,246,10,4.1
2025-11,MLOps,246,3,1.2
2025-11,Computer Vision,246,8,3.3
2025-11,Azure,246,1,0.4
2025-11,NLP,246,6,2.4
2025-11,SQL,246,1,0.4
2025-11,AWS,246,2,0.8
2025-11,Data Pipelines,246,2,0.8
2025-12,Machine Learning,342,70,20.5
2025-12,Generative AI,342,22,6.4
2025-12,Python,342,9,2.6
2025-12,Artificial Intelligence,342,16,4.7
2025-12,LLMs,342,7,2.0
2025-12,MLOps,342,11,3.2
2025-12,Computer Vision,342,14,4.1
2025-12,Azure,342,3,0.9
2025-12,NLP,342,11,3.2
2025-12,SQL,342,1,0.3
2025-12,AWS,342,5,1.5
2025-12,Data Pipelines,342,2,0.6
2026-01,Machine Learning,915,146,16.0
2026-01,Generative AI,915,61,6.7
2026-01,Python,915,57,6.2
2026-01,Artificial Intelligence,915,35,3.8
2026-01,LLMs,915,38,4.2
2026-01,MLOps,915,36,3.9
2026-01,Computer Vision,915,31,3.4
2026-01,Azure,915,16,1.7
2026-01,NLP,915,15,1.6
2026-01,SQL,915,34,3.7
2026-01,AWS,915,8,0.9
2026-01,Data Pipelines,915,47,5.1
2026-02,Machine Learning,1807,299,16.5
2026-02,Generative AI,1807,123,6.8
2026-02,Python,1807,113,6.3
2026-02,Artificial Intelligence,1807,76,4.2
2026-02,LLMs,1807,82,4.5
2026-02,MLOps,1807,80,4.4
2026-02,Computer Vision,1807,46,2.5
2026-02,Azure,1807,56,3.1
2026-02,NLP,1807,43,2.4
2026-02,SQL,1807,21,1.2
2026-02,AWS,1807,39,2.2
2026-02,Data Pipelines,1807,21,1.2
2026-03,Machine Learning,145,16,11.0
2026-03,Generative AI,145,9,6.2
2026-03,Python,145,3,2.1
2026-03,Artificial Intelligence,145,2,1.4
2026-03,LLMs,145,2,1.4
2026-03,MLOps,145,0,0.0
2026-03,Computer Vision,145,3,2.1
2026-03,Azure,145,2,1.4
2026-03,NLP,145,1,0.7
2026-03,SQL,145,3,2.1
2026-03,AWS,145,3,2.1
2026-03,Data Pipelines,145,0,0.0
2026-04,Machine Learning,239,37,15.5
2026-04,Generative AI,239,4,1.7
2026-04,Python,239,4,1.7
2026-04,Artificial Intelligence,239,7,2.9
2026-04,LLMs,239,4,1.7
2026-04,MLOps,239,2,0.8
2026-04,Computer Vision,239,2,0.8
2026-04,Azure,239,2,0.8
2026-04,NLP,239,0,0.0
2026-04,SQL,239,2,0.8
2026-04,AWS,239,3,1.3
2026-04,Data Pipelines,239,6,2.5
2026-05,Machine Learning,559,81,14.5
2026-05,Generative AI,559,22,3.9
2026-05,Python,559,8,1.4
2026-05,Artificial Intelligence,559,18,3.2
2026-05,LLMs,559,25,4.5
2026-05,MLOps,559,2,0.4
2026-05,Computer Vision,559,5,0.9
2026-05,Azure,559,5,0.9
2026-05,NLP,559,1,0.2
2026-05,SQL,559,4,0.7
2026-05,AWS,559,8,1.4
